prefecture_code,prefecture_name,target_year,target_month,base_year,release_type,total_guests,average_occupancy_rate,average_facilities,foreign_share_pct,demand_vs_base_pct,demand_ltm_yoy_pct,foreign_ltm_yoy_pct,occupancy_ltm_yoy_pp,facility_ltm_yoy_pct,foreign_share_yoy_pp,recent_demand_yoy_pct,recent_occupancy_yoy_pp,monthly_cv,peak_month_share_pct,seasonal_occupancy_cv,seasonal_occupancy_cv_percentile,seasonal_occupancy_cv_relative,top3_demand_share_pct,top3_demand_share_pct_percentile,top3_demand_share_pct_relative,demand_ltm_yoy_pct_percentile,demand_ltm_yoy_pct_relative,foreign_share_pct_percentile,foreign_share_pct_relative,facility_ltm_yoy_pct_percentile,facility_ltm_yoy_pct_relative,recent_demand_yoy_pct_percentile,recent_demand_yoy_pct_relative,recovery_direction,demand_mix_direction,momentum_direction,supply_demand_direction,market_state,market_characteristics,is_watch,signals,watch_reasons,observed_fact,interpretation,next_action,data_quality_note
11,埼玉県,2025,12,2019,final,5403290.0,66.625,363.3333333333333,5.188690594063987,99.38821495249745,-3.096165124024153,23.132329043875455,4.158333333333331,-8.30704521556257,1.1052462179688778,-1.0637932337802414,5.533333333333331,0.09062474850130182,9.789035939214811,0.06834386333098846,20.212765957446805,全国下位25%,27.697384371373733,11.702127659574469,全国下位25%,18.085106382978726,全国下位25%,22.340425531914892,全国下位25%,1.0638297872340425,全国下位25%,41.48936170212766,全国中位50%,↓,↑,↓,↑,中期縮小,低季節性,True,中期縮小 / インバウンド主導,中期縮小,LTM延べ宿泊者数は前年比-3.1%、2019年同月終了LTM比99.4%。直近3か月需要は前年比-1.1%、LTM平均稼働率は前年差+4.2pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
12,千葉県,2025,12,2019,final,28244200.0,63.99166666666667,2314.5833333333335,15.492950765112838,96.63037978234712,-0.14992959566381137,-0.7250749803757839,2.6666666666666643,7.260088820235588,-0.0897578026512047,-2.088303930318358,0.7999999999999972,0.07769160805026883,9.949617974663823,0.03793894291433054,3.1914893617021276,全国下位25%,27.680444126581737,9.574468085106384,全国下位25%,52.12765957446809,全国中位50%,62.76595744680851,全国中位50%,86.17021276595744,全国上位25%,32.97872340425532,全国中位50%,↓,↓,↓,↑,中期縮小,低季節性,True,中期縮小,中期縮小,LTM延べ宿泊者数は前年比-0.1%、2019年同月終了LTM比96.6%。直近3か月需要は前年比-2.1%、LTM平均稼働率は前年差+2.7pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
13,東京都,2025,12,2019,final,107900620.0,76.33333333333333,5538.833333333333,55.71398014209742,136.61467488932882,-2.2172806537321788,5.830342193234372,1.4833333333333343,19.35854613367811,4.236640364143575,-4.4707655355923475,1.6666666666666714,0.05344378237395704,9.096685450000194,0.03665912205910492,1.0638297872340425,全国下位25%,26.46844846674653,1.0638297872340425,全国下位25%,35.1063829787234,全国中位50%,98.93617021276596,全国上位25%,96.80851063829788,全国上位25%,20.212765957446805,全国下位25%,↑,↑,↓,↑,需要減速・中期縮小,低季節性,True,需要減速 / 中期縮小 / インバウンド主導 / コロナ前水準超過,需要減速 / 中期縮小,LTM延べ宿泊者数は前年比-2.2%、2019年同月終了LTM比136.6%。直近3か月需要は前年比-4.5%、LTM平均稼働率は前年差+1.5pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
14,神奈川県,2025,12,2019,final,26795010.0,65.93333333333334,1928.5833333333333,18.389431465037706,112.1885872910203,2.6737703580035133,11.47093356016098,4.25833333333334,1.5043859649122693,1.4512736605504095,13.769546957376466,6.200000000000003,0.14134289741052078,10.133640554715225,0.06747489954947908,18.085106382978726,全国下位25%,29.291274756008672,43.61702127659575,全国中位50%,71.27659574468085,全国中位50%,73.40425531914893,全国中位50%,47.87234042553192,全国中位50%,96.80851063829788,全国上位25%,↑,↑,↑,↑,インバウンド主導・需要拡大型,低季節性,False,供給追随型成長 / インバウンド主導 / コロナ前水準超過,,LTM延べ宿泊者数は前年比+2.7%、2019年同月終了LTM比112.2%。直近3か月需要は前年比+13.8%、LTM平均稼働率は前年差+4.3pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
15,新潟県,2025,12,2019,final,10205100.0,46.05,1784.25,8.318095854033768,93.36429283073554,-3.0323358573501324,60.609615348229994,0.6999999999999957,-1.7257997888649124,3.296065738766427,1.5204324713054662,3.299999999999997,0.14653846325866704,11.534134893337646,0.08556532915836734,39.361702127659576,全国中位50%,29.14934689517986,39.361702127659576,全国中位50%,22.340425531914892,全国下位25%,35.1063829787234,全国中位50%,26.595744680851062,全国中位50%,60.63829787234043,全国中位50%,↓,↑,↓,↑,中期縮小,,True,中期縮小 / インバウンド主導,中期縮小,LTM延べ宿泊者数は前年比-3.0%、2019年同月終了LTM比93.4%。直近3か月需要は前年比+1.5%、LTM平均稼働率は前年差+0.7pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
16,富山県,2025,12,2019,final,3928410.0,55.358333333333334,428.9166666666667,9.848768331207792,103.16500739254548,4.486770291404674,54.53129368534568,1.0166666666666657,-0.7137345679012252,3.1894958321919082,6.309461632205804,4.300000000000004,0.23968048259296648,13.094356240820076,0.1550421713337814,92.5531914893617,全国上位25%,32.512645065051764,94.68085106382979,全国上位25%,79.7872340425532,全国上位25%,43.61702127659575,全国中位50%,32.97872340425532,全国中位50%,81.91489361702128,全国上位25%,↑,↑,↑,↑,インバウンド主導・需要拡大型,高季節性 / ピーク集中型,False,需要先行型成長 / インバウンド主導 / コロナ前水準超過,,LTM延べ宿泊者数は前年比+4.5%、2019年同月終了LTM比103.2%。直近3か月需要は前年比+6.3%、LTM平均稼働率は前年差+1.0pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
17,石川県,2025,12,2019,final,9516320.0,57.05,1088.6666666666667,22.517317618575248,103.43084083098387,-17.190992952421226,-2.593335060708135,-9.608333333333334,4.545454545454564,3.374513432318679,-11.057874287045333,-6.06666666666667,0.15677843396776675,10.36388015535417,0.11183598496201587,77.6595744680851,全国上位25%,30.228176437950804,73.40425531914893,全国中位50%,1.0638297872340425,全国下位25%,79.7872340425532,全国上位25%,62.76595744680851,全国中位50%,5.319148936170213,全国下位25%,↑,↑,↓,↓,需要減速・中期縮小,高季節性,True,需要減速 / 中期縮小 / 稼働悪化 / 供給増加警戒 / インバウンド主導 / コロナ前水準超過,需要減速 / 中期縮小 / 稼働悪化 / 供給増加警戒,LTM延べ宿泊者数は前年比-17.2%、2019年同月終了LTM比103.4%。直近3か月需要は前年比-11.1%、LTM平均稼働率は前年差-9.6pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
18,福井県,2025,12,2019,final,3929570.0,46.05833333333333,841.8333333333334,2.7623887600933434,94.82301386787513,-2.425234155401712,17.73318872017353,-1.5750000000000028,-4.418582647364932,0.4729796362268739,0.6696681926525727,-3.8333333333333357,0.2135654658140073,12.617411065332847,0.12282400748766184,84.04255319148936,全国上位25%,31.968637789885406,92.5531914893617,全国上位25%,30.851063829787233,全国中位50%,1.0638297872340425,全国下位25%,18.085106382978726,全国下位25%,54.25531914893617,全国中位50%,↓,↑,↓,↓,中期縮小,高季節性 / ピーク集中型,True,中期縮小 / 稼働悪化 / インバウンド主導,中期縮小 / 稼働悪化,LTM延べ宿泊者数は前年比-2.4%、2019年同月終了LTM比94.8%。直近3か月需要は前年比+0.7%、LTM平均稼働率は前年差-1.6pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
19,山梨県,2025,12,2019,final,9935970.0,43.74166666666667,2104.75,27.682350087610974,109.51913283864397,4.7662680278449665,7.663853572994306,1.4083333333333314,11.200633998150833,0.7450223525135371,-2.730421463941035,-1.1000000000000014,0.3194187756586048,15.62877102084648,0.15536418194357052,94.68085106382979,全国上位25%,35.93318015251656,98.93617021276596,全国上位25%,81.91489361702128,全国上位25%,88.29787234042553,全国上位25%,92.5531914893617,全国上位25%,28.723404255319153,全国中位50%,↑,↑,↑,↑,インバウンド主導・需要拡大型,高季節性 / ピーク集中型,False,供給追随型成長 / インバウンド主導 / コロナ前水準超過,,LTM延べ宿泊者数は前年比+4.8%、2019年同月終了LTM比109.5%。直近3か月需要は前年比-2.7%、LTM平均稼働率は前年差+1.4pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
20,長野県,2025,12,2019,final,19047990.0,39.0,5035.333333333333,13.168528542906627,105.51406559512888,-5.2588620910904105,7.2068452635358105,-0.4166666666666643,4.702824467163391,1.5311990825155863,-5.7424077038508825,-1.7333333333333414,0.20459820550194088,12.847077303169522,0.1345441406915719,90.42553191489363,全国上位25%,31.349029477650923,88.29787234042553,全国上位25%,7.446808510638298,全国下位25%,58.51063829787234,全国中位50%,71.27659574468085,全国中位50%,15.957446808510639,全国下位25%,↑,↑,↓,↓,供給増加警戒,高季節性 / ピーク集中型,True,中期縮小 / 稼働悪化 / 供給増加警戒 / インバウンド主導 / コロナ前水準超過,中期縮小 / 稼働悪化 / 供給増加警戒,LTM延べ宿泊者数は前年比-5.3%、2019年同月終了LTM比105.5%。直近3か月需要は前年比-5.7%、LTM平均稼働率は前年差-0.4pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
21,岐阜県,2025,12,2019,final,8138340.0,55.975,1139.3333333333333,24.63033001816095,111.41847952575881,-2.6968280347684725,3.9311860961901424,5.075000000000003,-5.475663716814161,1.5707525483203248,-0.2102384162039339,4.5333333333333385,0.11749685045033596,10.77738211969517,0.08318038563902881,35.1063829787234,全国中位50%,28.510605356866385,20.212765957446805,全国下位25%,26.595744680851062,全国中位50%,84.04255319148936,全国上位25%,11.702127659574469,全国下位25%,45.744680851063826,全国中位50%,↑,↑,↓,↑,中期縮小,,True,中期縮小 / インバウンド主導 / コロナ前水準超過,中期縮小,LTM延べ宿泊者数は前年比-2.7%、2019年同月終了LTM比111.4%。直近3か月需要は前年比-0.2%、LTM平均稼働率は前年差+5.1pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
22,静岡県,2025,12,2019,final,22407150.0,55.99166666666667,2891.4166666666665,9.9473605523237,95.63668801444337,-2.56023899912593,18.208094018317865,1.5333333333333314,0.8545766357585194,1.7476814790976025,-1.2839907145672846,0.30000000000000426,0.1397910156486646,11.281979189678294,0.06933751147311935,22.340425531914892,全国下位25%,29.496566944033486,52.12765957446809,全国中位50%,28.723404255319153,全国中位50%,45.744680851063826,全国中位50%,43.61702127659575,全国中位50%,39.361702127659576,全国中位50%,↓,↑,↓,↑,中期縮小,低季節性,True,中期縮小 / インバウンド主導,中期縮小,LTM延べ宿泊者数は前年比-2.6%、2019年同月終了LTM比95.6%。直近3か月需要は前年比-1.3%、LTM平均稼働率は前年差+1.5pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
23,愛知県,2025,12,2019,final,22750660.0,69.15,1043.5833333333333,21.36039130293363,117.64895088621996,6.693998296697323,24.44157074632216,2.808333333333337,4.619883040935657,3.0463701954867446,9.602572225153683,1.4666666666666686,0.08038703218647833,9.600996190879737,0.04849574517329348,7.446808510638298,全国下位25%,27.3096692579468,5.319148936170213,全国下位25%,88.29787234042553,全国上位25%,77.6595744680851,全国上位25%,69.14893617021278,全国中位50%,88.29787234042553,全国上位25%,↑,↑,↑,↑,インバウンド主導・需要拡大型,低季節性,False,供給追随型成長 / インバウンド主導 / コロナ前水準超過,,LTM延べ宿泊者数は前年比+6.7%、2019年同月終了LTM比117.6%。直近3か月需要は前年比+9.6%、LTM平均稼働率は前年差+2.8pt。,都道府県単位の一次スクリーニングであり、個別ホテルの収益性や担保価値を直接示さない。,対象ホテルの客室数・ADR・RevPAR・GOP、競合施設の開閉業、商圏別需要を追加確認する。,
